Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-03-27,13,10.1101/2024.09.25.614692,2,neuroscience,Repeated low-intensity focused ultrasound induces microglial profile changes in the TgF344-AD rat model of Alzheimer disease,"Abjean, L.; Novell, A.; Larrat, B.; Gueorguiev, B. R.; Cailly, T.; Fossey, C.; Fabis, F.; Salomir, R.; Tsartsalis, S.; Tournier, B. B.; Millet, P.; Ceyzeriat, K."
2026-03-23,13,10.1101/2024.09.30.615806,3,neuroscience,Dissociable after-effects of prosocial acts: Effort is costly for others but valued for self,"Zheng, Y.; Tang, R."
2026-03-27,13,10.1101/2024.09.30.615940,4,bioinformatics,A new iterative framework for simulation-based population genetic inference with improved coverage properties of confidence intervals,"Rousset, F.; Leblois, R.; Estoup, A.; Marin, J.-M."
2026-03-25,13,10.1101/2024.10.02.616189,3,bioinformatics,Mosaic integration of spatial multi-omics with SpaMosaic,"Yan, X.; Fang, Z.; Ang, K. S.; Olst, L. v.; Edwards, A.; Watson, T.; Zheng, R.; Fan, R.; Li, M.; Gate, D.; Chen, J."
2026-03-25,13,10.1101/2024.10.05.616758,3,neuroscience,Progressive hypothalamic neuroinflammation after ovariectomy in mice parallels age-related transcriptomic changes in the female human hypothalamus,"Bloom, J. C. B.; Torres, E.; Pereira, S. A.; Arvizu-Sanchez, L.; Fontes, A. N.; Joffe, H.; Page, D. C.; Navarro, V. M."
2026-03-25,13,10.1101/2024.10.14.617543,2,synthetic biology,Light-guided actin polymerization drives directed motility in protocells,"Matsubayashi, H. T.; Razavi, S.; O. Tahara, Y.; H. Akenuwa, O.; Rock, T. W.; Nakajima, D.; Otsuka-Yamaguchi, R.; Nakamura, H.; Kramer, D. A.; Matsuura, T.; Chen, B.; T. Lee, C.; Miyata, M.; Murata, S.; Nomura, S.-i. M.; Inoue, T."
2026-03-23,13,10.1101/2024.10.15.618375,3,microbiology,A Coma Pattern-Based Autofocusing Method Resolves Bacterial Cold Shock Response at Single-Cell Level,"Li, S.; Ma, Z.; Yu, Y.; Wang, J.; Shen, Y.; Cui, X.; Fu, X.; Huang, S."
2026-03-26,13,10.1101/2024.10.22.619715,4,neuroscience,Oxytocin neurons signal state-dependent transitions from rest to thermogenesis and behavioral arousal in social and non-social settings,"Vandendoren, M.; Landen, J. G.; Rogers, J. F.; Killmer, S.; Alamiri, B.; Pohlman, C.; Tattersall, G. J.; Bedford, N. L.; Nelson, A. C."
2026-03-23,13,10.1101/2024.10.23.619844,5,bioinformatics,AI-readiness for Biomedical Data,"Clark, T.; Caufield, H.; Parker, J. A.; Al Manir, S.; Amorim, E.; Eddy, J.; Gim, N.; Gow, B.; Goar, W.; Hansen, J. N.; Harris, N.; Hermjakob, H.; Joachimiak, M.; Jordan, G.; Lee, I.-H.; McWeeney, S. K.; Nebeker, C.; Nikolov, M.; Reese, J.; Shaffer, J.; Sheffield, N.; Sheynkman, G.; Stevenson, J.; Chen, J. Y.; Mungall, C.; Wagner, A.; Kong, S. W.; Ghosh, S. S.; Patel, B.; Williams, A.; Munoz-Torres, M. C."
2026-03-25,13,10.1101/2024.10.23.619602,4,bioinformatics,Signature Distance: Generalizing Energy Statistics,"Lazzaro, N.; Marchesi, R.; Leonardi, G.; Tessadori, J.; Chierici, M.; Sales, G.; Moroni, M.; Tebaldi, T.; Jurman, G."
2026-03-23,13,10.1101/2024.10.26.620399,3,neuroscience,Cortical layer 6b mediates state-dependent changes in brain activity and effects of orexin on waking and sleep,"Meijer, E. J.; Mueller, M.; Krone, L. B.; Yamagata, T.; Hoerder-Suabedissen, A.; Wilcox, S.; Alfonsa, H.; Chakrabarty, A.; Guidi, L.; Oliver, P.; Vyazovskiy, V. V.; Molnar, Z."
2026-03-24,13,10.1101/2024.10.28.620600,3,neuroscience,The aberrant language network dynamics in autism ages 5-60 years,"Hu, Z.; Guo, X.; Yang, J.; Qu, Z.; Li, Z.; Li, J.; Gao, X.; Liu, J.; Wang, Y.; Li, W.; Li, W.; Huang, Y.; Chen, J.; Zhou, N.; Zhang, Y.; Wang, X.; Xie, H.; Yuan, B."
2026-03-27,13,10.1101/2024.11.03.620234,2,neuroscience,Altered EEG markers of reward learning during abstinence in alcohol dependence: a probabilistic reversal learning study,"Komarnyckyj, M.; Retzler, C.; Murphy, A.; Delis, I.; Fouragnan, E. F."
2026-03-23,13,10.1101/2024.11.07.622552,2,bioinformatics,Entomopoxvirus-like long DNA sequences in human centromeric and peri-centromeric regions,"Hondo, E.; Mizutani, T.; Shimoda, H.; Iida, A."
2026-03-23,13,10.1101/2024.11.12.623333,2,neuroscience,"MicroRNA-29 acutely regulates Memory Stability, Expression of Synaptic Genes, and DNA Methylation in the Mouse Adult Hippocampus","Viglione, A.; Giannuzzi, C.; Putignano, E.; Mazziotti, R.; Bagnoli, S.; Tognini, P.; Cellerino, A. M.; Pizzorusso, T."
2026-03-25,13,10.1101/2024.11.14.623644,4,evolutionary biology,Species biology and demographic history determine species vulnerability to climate change in tropical island endemic birds,"Karjee, R.; Iyer, V.; Chatterjee, D.; Ray, R.; Garg, K. M.; Chattopadhyay, B."
2026-03-25,13,10.1101/2024.11.17.624021,3,molecular biology,Persistent Low-Level Infections of Elephant Endotheliotropic Herpesvirus and Elephant Gammaherpesvus in Skin Nodules and Saliva from Wild and Zoo African Elephants,"Pearson, V. R.; Hayward, G. S."
2026-03-27,13,10.1101/2024.11.19.624324,2,neuroscience,Knockdown of TTLL1 reduces Aβ-induced TAU pathology in human iPSC-derived cortical neurons,"Al Kabbani, M. A.; Koehler, L.; Wied, T.; Adam, D.; Klimek, J.; Zempel, H."
2026-03-27,13,10.1101/2024.11.19.624334,2,neuroscience,Brain-Cognitive Gaps in relation to Dopamine and Health-related Factors: Insights from AI-Driven Functional Connectome Predictions,"Esmaeili, M.; Bjorkeli, E. B.; Pedersen, R.; Falahati, F.; Johansson, J.; Nordin, K.; Karalija, N.; Backman, L.; Nyberg, L.; Salami, A."
2026-03-28,13,10.1101/2024.11.27.625647,2,microbiology,Unexplored Yeast diversity in Seed Microbiota,"Marchi, M.; Bosc-Bierne, A.; Lerenard, T.; Le Corff, J.; Aligon, S.; Rolland, A.; Simonin, M.; Marais, C.; Briand, M.; Cordovez, V.; Gouka, L.; Guillemette, T.; Simoneau, P.; Guschinskaya, N."
2026-03-24,13,10.1101/2024.11.28.625894,2,bioinformatics,"Deconvolution of omics data in Python with Deconomix -- cellular compositions, cell-type specific gene regulation, and background contributions","Mensching-Buhr, M.; Sterr, T.; Voelkl, D.; Seifert, N.; Tauschke, J.; Engel, L.; Rayford, A.; Straume, O.; Grellscheid, S. N.; Beissbarth, T.; Zacharias, H. U.; Goertler, F.; Altenbuchinger, M. C."
2026-03-25,13,10.1101/2024.12.03.626330,2,immunology,CD226+ macrophages arise from MDP-derived monocytes and regulate lipid metabolism.,"Gallerand, A.; Caillot, Z.; Westermann, F.; Tuzlak, S.; Grenet, S.; Terekhova, M.; Castiglione, A.; Pilot, T.; L'homme, L.; Acil, K.; Leporati, L.; Giacchero, M.; Goes, E.; Franceschini, M.; Fleury, S.; Bore, E.; Chang, M.; Dolfi, B.; Zair, F. N.; Bennetot, A.; Mlamla, Z.; Voehringer, D.; Mack, M.; Neels, J. G.; Haas, J.; Dombrowicz, D.; Williams, J. W.; Masson, D.; Mass, E.; Artyomov, M. N.; Becher, B.; Bertola, A.; IVANOV, S."
2026-03-25,13,10.1101/2024.12.02.626446,2,cancer biology,A TROP2/Claudin Program Mediates Immune Exclusion to Impede Checkpoint Blockade in Breast Cancer,"Wu, B.; Thant, W.; Bitman, E.; Liu, T.; Liu, J.; Paschalis, E. I.; Patel, B. K.; Nawrocki, C.; Xu, K. H.; Nieman, L. T.; Ting, D. T.; de Gois Macedo, B.; Cheng, Y.; Jiang, K.; Sun, F.; Thimmiah, N.; Sun, S.; Abelman, R. O.; Bossuyt, V. I.; Isakoff, S. J.; Spring, L. M.; Bardia, A.; Ellisen, L. W."
2026-03-23,13,10.1101/2024.12.06.627235,2,neuroscience,PARKINSON'S DISEASE-ASSOCIATED PINK1 LOSS DISRUPTS ENSHEATHING GLIA AND CAUSES DOPAMINERGIC NEURON SYNAPSE LOSS,"Ghezzi, L.; Kuenen, S.; Pech, U.; Schoovaerts, N.; Kilic, A.; Poovathingal, S.; Davie, K.; Lamote, j.; Praschberger, R.; Verstreken, P."
2026-03-25,13,10.1101/2024.12.06.627235,3,neuroscience,PARKINSON'S DISEASE-ASSOCIATED PINK1 LOSS DISRUPTS ENSHEATHING GLIA AND CAUSES DOPAMINERGIC NEURON SYNAPSE LOSS,"Ghezzi, L.; Kuenen, S.; Pech, U.; Schoovaerts, N.; Kilic, A.; Poovathingal, S.; Davie, K.; Lamote, j.; Praschberger, R.; Verstreken, P."
2026-03-25,13,10.1101/2024.12.17.628831,4,bioinformatics,Fitness translocation: improving variant effect prediction with biologically-grounded data augmentation,"Mialland, A.; Fukunaga, S.; Katsuki, R.; Dong, Y.; Yamaguchi, H.; Saito, Y."
2026-03-24,13,10.1101/2024.12.20.629674,2,neuroscience,Sequential critical periods support efficient local representation learning in a model of visual processing,"Delrocq, A.; Zihan, W. S.; Bellec, G.; Gerstner, W."
2026-03-28,13,10.1101/2024.12.20.628852,3,neuroscience,Uncovering sex differences in Parkinson's Disease through metaanalysis of single cell transcriptomic studies,"Gordillo-Gonzalez, F.; Soler-Saez, I.; Galiana-Rosello, C.; Hidalgo, M. R.; Gomez-Cabanes, B.; Grillo-Risco, R.; Dolader-Rabinad, B.; del Rey-Diez, N.; Virues-Morales, A.; Yanguas-Casas, N.; Casanova-Ferrer, F.; Palero-Renart, P.; Salvador-Guerrero, S.; Garcia-Rodriguez, C. I.; Garcia-Garcia, F."
2026-03-25,13,10.1101/2024.12.18.628606,3,genomics,Tokenization to Transfer: Do Genomic Foundation Models Learn Good Representations?,"Vishniakov, K.; Viswanathan, K.; Medvedev, A.; Kanithi, P.; Pimentel, M. A.; Rajan, R.; Khan, S."
2026-03-28,13,10.1101/2024.12.24.630187,2,bioinformatics,Single-Cell Analysis of Microglia and Monocyte Dynamics Uncover Distinct TNF-a-driven Neuroimmune Signatures after Intracerebral Hemorrhage,"Kawamura, Y.; Johnson, C.; DeLong, J.; de Lima Camillo, L. P.; Velazquez, S. E.; Takahashi, M.; Beatty, H. E.; Herbert, R.; Cord, B. J.; Matouk, C.; Askenase, M.; Sansing, L. H."
2026-03-25,13,10.1101/2024.12.26.630414,3,cell biology,Quantitative analyses of single mitochondrial structure-function heterogeneity uncovers stemness specification by redox-tuned small-mitochondrial-networks,"Saini, M.; Agarwala, S.; Wagle, B.; Spurlock, B.; Golchha, B.; Parker, D.; Mitra, K."
2026-03-27,13,10.1101/2025.01.01.631041,7,bioinformatics,TOGGLE delineates fate and function within individual cell types via single cell transcriptomics,"Chen, J.; Sun, T.; Song, T.; Chen, Z.; Xu, H.; Guo, Z.; Jiang, E.; Nong, Y.; Yuan, T.; Dai, C. C.; Yan, Y.; Ge, J.; Wu, H.; Yang, T.; Wang, S.; Su, Z.; Tian, P.; Yang, X.; Abdelbsset-Ismail, A.; Li, Y.; Li, C.; Singhal, R. A.; Yang, K.; Cai, L.; Carll, A. P."
2026-03-23,13,10.1101/2025.01.08.631958,3,genomics,A theoretical and experimental framework enables low-coverage sequencing for accurate quantification of genome-wide cytosine modification levels,"Loo, C. E.; Fowler, J. M.; Zhu, H.; Krapp, C.; Zhu, R.; Bartolomei, M.; Zhou, W.; Kohli, R. M."
2026-03-27,13,10.1101/2025.01.10.632392,3,cancer biology,Highly potent novel multi-armoured IL13Rα2 CAR-T subverts the immunosuppressive microenvironment of Glioblastoma,"Mangolini, M.; Srivastava, S.; Souster, E.; Yang, Y.; Wang, H.; Karattil, R.; Schultz, L.; Ma, B.; Pombal, D.; Greenig, M.; Ramon, A.; Sormanni, P.; Cordoba, S.; Onuoha, S."
2026-03-28,13,10.1101/2025.01.11.631697,2,evolutionary biology,Super compensatory substitutions restore protein function and flatten fitness landscapes,"Jiang, W.; Yin, H.; Khan, S. S.; Abuduhaibaier, Y.; Carey, L. B."
2026-03-25,13,10.1101/2025.01.30.635691,2,plant biology,Endogenous RALF peptide function is required for powdery mildew host colonization,"Leicher, H.; Schade, S.; Huebbers, J. W.; Munzert-Eberlein, K. S.; Haljiti, G.; Biermann, D.; Makris, A.; Zhu, X.; Chauhan, Y.; Ludwig, C.; Mueller, M.; Kinoshita, T.; Engelsdorf, T.; Gronnier, J.; Ried-Lasi, M. K.; Boisson-Dernier, A.; Hueckelhoven, R.; Stegmann, M."
2026-03-25,13,10.1101/2025.02.10.637449,2,plant biology,Phyllosphere microbiome-based biocontrol solution against Botrytis cinerea and Plasmopara viticola in grapevine,"Rappo, N.-D.; Schnee, S.; Chevalley, C.; Michellod, E.; L'Haridon, F.; Gindro, K.; Weisskopf, L.; Bruisson, S."
2026-03-25,13,10.1101/2025.02.13.638092,5,bioengineering,CVAE-based Causal Representation Learning from Retinal Fundus Images for Age Related Macular Degeneration(AMD) Prediction,"Kim, D."
2026-03-25,13,10.1101/2025.02.21.639524,2,cell biology,Long-read RNA sequencing identifies non-coding isoform switching as a regulator of cell fate,"Fort, V.; Khelifi, G.; He, R.; Watters, V.; Pye, M.; Yamanaka, N.; Gertsenstein, M.; Lelong, E. I. J.; Loehr, J.; Micha, V.; Lambert, J.-P.; Yamanaka, Y.; Wrana, J. L.; Hussein, S."
2026-03-25,13,10.1101/2025.02.19.639148,3,neuroscience,Boosting Hyperalignment Performance with Age-specific Templates,"Zhang, Y.; Gobbini, M. I.; Haxby, J. V. L.; Feilong, M."
2026-03-28,13,10.1101/2025.02.26.640246,4,microbiology,Macrogenetic atlas of prokaryotes reveals selection-driven structures,"Yang, C.; Jiao, F.; Wang, N.; Tong, S.; Huang, H.; Xu, W.; Didelot, X.; Yang, R.; Cui, Y.; Falush, D."
2026-03-23,13,10.1101/2025.02.26.640411,2,neuroscience,Examining Alzheimer's Disease modifiable risk factors: Impact of physical activity and diet on neuroanatomy and behaviour in mouse models,"Garcia, C. L.; Anastassiadis, C.; Urosevic, M.; Park, M.; Gallino, D.; Devenyi, G. A.; Tullo, S.; Yee, Y.; Chakravarty, M. M."
2026-03-27,13,10.1101/2025.02.27.640173,4,genetics,Separable downmodulation of meiotic axis protein deposition and DNA break induction at chromosome ends,"Raghavan, A. R.; May, K.; Subramanian, V. V.; Blitzblau, H. G.; Patel, N. J.; Houseley, J.; Hochwagen, A."
